Fecha,Medio,Importe
20/01/2020,FM 95.1 METRO," $ 512.435,00 "
20/01/2020,AM 790 RADIO MITRE," $ 480.000,00 "
20/01/2020,FM 99.9 LA 100," $ 406.560,00 "
20/01/2020,AM 990 LA 990," $ 310.495,68 "
20/01/2020,AM 790 RADIO MITRE," $ 258.456,00 "
20/01/2020,FM 95.9 ROCK AND POP," $ 215.622,00 "
20/01/2020,AM 550 RADIO COLONIA," $ 143.388,63 "
20/01/2020,FM 97.9 CULTURA," $ 87.609,60 "
20/01/2020,FM 97.9 CULTURA," $ 58.752,00 "
20/01/2020,FM 94.3 RADIO DISNEY," $ 47.970,45 "
20/01/2020,AM 790 RADIO MITRE," $ 32.832,00 "
20/01/2020,FM 106.7 MILENIUM," $ 28.339,20 "
20/01/2020,FM 97.9 CULTURA," $ 23.232,00 "
21/01/2020,AM 790 RADIO MITRE," $ 480.000,00 "
21/01/2020,AM 790 RADIO MITRE," $ 312.400,00 "
21/01/2020,AM 790 RADIO MITRE," $ 312.400,00 "
21/01/2020,AM 630 RIVADAVIA," $ 93.840,00 "
21/01/2020,AM 710 RADIO DIEZ," $ 49.000,00 "
21/01/2020,AM 710 RADIO DIEZ," $ 49.000,00 "
21/01/2020,AM 790 RADIO MITRE," $ 23.500,80 "
21/01/2020,AM 790 RADIO MITRE," $ 21.780,00 "
21/01/2020,AM 790 RADIO MITRE," $ 20.000,00 "
21/01/2020,FM 92.3 LA RADIO AMA," $ 15.000,00 "
21/01/2020,FM 92.3 LA RADIO AMA," $ 15.000,00 "
21/01/2020,FM 106.7 MILENIUM," $ 13.068,00 "
21/01/2020,FM 97.9 CULTURA," $ 12.000,00 "
21/01/2020,FM 97.9 CULTURA," $ 12.000,00 "
21/01/2020,FM 106.7 MILENIUM," $ 10.300,00 "
21/01/2020,FM 106.7 MILENIUM," $ 10.300,00 "
22/01/2020,AM 790 RADIO MITRE," $ 20.000,00 "
22/01/2020,FM 97.9 CULTURA," $ 17.424,00 "
23/01/2020,FM 99.9 LA 100," $ 326.700,00 "
23/01/2020,FM 95.9 ROCK AND POP," $ 174.693,75 "
23/01/2020,FM 95.1 METRO," $ 174.693,75 "
23/01/2020,AM 630 RIVADAVIA," $ 64.686,60 "
23/01/2020,FM 103.1 RADIO UNO," $ 40.761,88 "
23/01/2020,FM 94.3 RADIO DISNEY," $ 39.204,00 "
23/01/2020,AM 550 RADIO COLONIA," $ 32.343,30 "
23/01/2020,FM 106.7 MILENIUM," $ 17.278,00 "
23/01/2020,FM 106.7 MILENIUM," $ 17.278,00 "
27/01/2020,AM 570 Radio Argentina," $ 36.000,00 "
27/01/2020,AM 570 Radio Argentina," $ 36.000,00 "
28/01/2020,FM 98.3 MEGA," $ 575.960,00 "
28/01/2020,FM 101.5 POP," $ 566.280,00 "
28/01/2020,FM 89.9 RADIO CON VOS," $ 499.125,00 "
28/01/2020,AM 950 CNN," $ 313.390,00 "
28/01/2020,AM 910 LA RED," $ 275.880,00 "
28/01/2020,FM 97.5 VALE," $ 266.200,00 "
28/01/2020,FM 100.7 BLUE," $ 235.950,00 "
28/01/2020,FM 89.1 OKTUBRE," $ 156.351,36 "
28/01/2020,AM 750," $ 145.955,04 "
28/01/2020,FM 105.5 LOS 40 PRINCIPALES," $ 105.980,88 "
28/01/2020,FM 102.3 ASPEN," $ 102.245,00 "
28/01/2020,FM 101.9 RADIO PERFIL," $ 79.714,80 "
28/01/2020,FM 90.3 Radio Delta," $ 74.250,00 "
28/01/2020,FM 90.3 Radio Delta," $ 69.300,00 "
28/01/2020,FM 90.3 Radio Delta," $ 66.990,00 "
28/01/2020,FM 90.3 Radio Delta," $ 60.984,00 "
28/01/2020,AM 710 RADIO DIEZ," $ 57.750,00 "
28/01/2020,FM 90.3 Radio Delta," $ 41.731,20 "
28/01/2020,FM 90.3 Radio Delta," $ 34.003,20 "
28/01/2020,FM 90.3 Radio Delta," $ 33.264,00 "
28/01/2020,FM 90.3 Radio Delta," $ 25.000,00 "
28/01/2020,FM 101.1 LATINA," $ 20.418,75 "
28/01/2020,FM 90.3 Radio Delta," $ 17.001,60 "
28/01/2020,FM 90.3 Radio Delta," $ 13.860,00 "
30/01/2020,FM 92.1 VORTERIX," $ 159.720,00 "
30/01/2020,FM 90.3 Radio Delta," $ 89.100,00 "
30/01/2020,FM 90.3 Radio Delta," $ 83.160,00 "
30/01/2020,FM 90.3 Radio Delta," $ 80.388,00 "
30/01/2020,FM 90.3 Radio Delta," $ 73.180,80 "
30/01/2020,AM 710 RADIO DIEZ," $ 69.300,00 "
30/01/2020,FM 90.3 Radio Delta," $ 50.077,44 "
30/01/2020,FM 90.3 Radio Delta," $ 40.803,84 "
30/01/2020,FM 90.3 Radio Delta," $ 39.916,80 "
30/01/2020,FM 90.3 Radio Delta," $ 30.000,00 "
30/01/2020,FM 90.3 Radio Delta," $ 20.401,92 "
30/01/2020,FM 90.3 Radio Delta," $ 16.632,00 "
31/01/2020,FM 97.9 CULTURA," $ 87.609,60 "
31/01/2020,FM 97.9 CULTURA," $ 58.752,00 "
31/01/2020,AM 710 RADIO DIEZ," $ 42.000,00 "
31/01/2020,AM 710 RADIO DIEZ," $ 42.000,00 "
31/01/2020,AM 790 RADIO MITRE," $ 32.832,00 "
31/01/2020,FM 106.7 MILENIUM," $ 28.339,20 "
31/01/2020,AM 870 RADIO NACIONAL," $ 25.000,00 "
31/01/2020,FM 106.7 MILENIUM," $ 25.000,00 "
31/01/2020,AM 790 RADIO MITRE," $ 23.500,80 "
31/01/2020,FM 97.9 CULTURA," $ 23.232,00 "
31/01/2020,AM 790 RADIO MITRE," $ 21.780,00 "
31/01/2020,FM 106.7 MILENIUM," $ 21.780,00 "
